epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,6817.73,0.51064,0.28109,0.8232,0.99516,1,0.995,0.83963,0.65242,0.3129,0.86754,0.000396246,0.000396246,0.000396246
79,6900,0.50852,0.28278,0.8251,0.99442,1,0.99496,0.84104,0.65953,0.30972,0.86825,0.000379743,0.000379743,0.000379743
80,6983.96,0.5112,0.2875,0.83434,0.99462,1,0.9948,0.84475,0.65276,0.30412,0.86525,0.000363239,0.000363239,0.000363239
81,7067.26,0.516,0.28346,0.82934,0.9951,0.99994,0.99496,0.8401,0.66139,0.3093,0.86931,0.000346736,0.000346736,0.000346736
82,7150.6,0.5158,0.28002,0.82515,0.99165,0.99587,0.995,0.84157,0.66598,0.3127,0.87092,0.000330233,0.000330233,0.000330233
83,7233.68,0.51468,0.28784,0.83072,0.98929,1,0.99471,0.83444,0.69191,0.32028,0.87784,0.000313729,0.000313729,0.000313729
84,7318.03,0.52191,0.28105,0.82778,0.98561,1,0.99467,0.8354,0.67738,0.31878,0.87394,0.000297226,0.000297226,0.000297226
85,7402.64,0.51047,0.27728,0.82801,0.99121,0.99669,0.99488,0.83992,0.67365,0.31487,0.87162,0.000280723,0.000280723,0.000280723
86,7486.76,0.5157,0.27296,0.82531,0.99485,1,0.995,0.84052,0.67023,0.30763,0.87048,0.00026422,0.00026422,0.00026422
87,7570.76,0.50478,0.26972,0.82194,0.99481,1,0.99492,0.84475,0.66925,0.30732,0.87069,0.000247716,0.000247716,0.000247716
88,7654.81,0.50972,0.27387,0.82034,0.99471,1,0.99492,0.84364,0.66646,0.30624,0.86973,0.000231213,0.000231213,0.000231213
89,7738.78,0.50146,0.27123,0.82096,0.99482,1,0.99492,0.84209,0.66631,0.29945,0.87052,0.00021471,0.00021471,0.00021471
90,7822.72,0.51223,0.27097,0.82328,0.99492,1,0.99496,0.84003,0.6662,0.29972,0.86983,0.000198206,0.000198206,0.000198206
91,7905.96,0.48942,0.26236,0.82029,0.99498,1,0.995,0.83514,0.68274,0.29912,0.87554,0.000181703,0.000181703,0.000181703
92,7987.9,0.50086,0.26504,0.81812,0.99523,1,0.995,0.8358,0.68678,0.30306,0.87721,0.0001652,0.0001652,0.0001652
93,8069.16,0.49048,0.26046,0.81675,0.99649,1,0.995,0.83631,0.67075,0.29889,0.87478,0.000148696,0.000148696,0.000148696
94,8151.22,0.48034,0.26066,0.81279,0.99621,1,0.995,0.834,0.67846,0.30385,0.8769,0.000132193,0.000132193,0.000132193
95,8233.47,0.47472,0.25726,0.81664,0.9968,1,0.995,0.83658,0.6753,0.30111,0.87439,0.00011569,0.00011569,0.00011569
96,8315.2,0.47854,0.25537,0.81872,0.99704,1,0.995,0.84119,0.66724,0.30115,0.87102,9.91865e-05,9.91865e-05,9.91865e-05
97,8397.66,0.48597,0.26211,0.82303,0.99748,1,0.995,0.84669,0.66567,0.29982,0.87141,8.26832e-05,8.26832e-05,8.26832e-05
98,8480.05,0.48214,0.25093,0.82061,0.99772,1,0.995,0.84956,0.66742,0.29805,0.87187,6.61799e-05,6.61799e-05,6.61799e-05
99,8562.03,0.47009,0.25119,0.81702,0.99811,1,0.995,0.84696,0.67039,0.29752,0.8727,4.96766e-05,4.96766e-05,4.96766e-05
100,8643.94,0.48769,0.25278,0.81803,0.99806,1,0.995,0.8455,0.67088,0.29749,0.87269,3.31733e-05,3.31733e-05,3.31733e-05
